"category_id";"category_label";"category_short";"category_summary";"code_suffix";"code_id";"code_label"
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"a";"6a";"Cash-based assistance "
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"b";"6b";"Diversifying the humanitarian finance base "
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"c";"6c";"Increasing efficiencies "
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"d";"6d";"Leveraging religious giving "
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"e";"6e";"New financial instruments and mechanisms "
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"f";"6f";"Transparency and traceability of funding "
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"g";"6g";"Understanding local and national resources "
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"h";"6h";"Referring chronic caseloads to development partners "
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"i";"6i";"High-level Panel on humanitarian financing "
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"j";"6j";"Creation of a medium to longer term forecasting model for humanitarian financing to help facilitate greater predictability and ability to meet future requirements"
6;"Global action to address the finance gap ";"Finance Gap";"This topic examines means to improve the management and use of humanitarian financing and explores innovative financial instruments and mechanisms. ";"k";"6k";"Other: Donor fatigue/ensuring financial pledges are fulfilled "
7;"Creating an enabling environment and investment in innovation to better deal with current and future humanitarian challenges ";"Innovation";"This topic questions how to foster innovation that can help meet humanitarian challenges. ";"a";"7a";"Coordination between actors "
7;"Creating an enabling environment and investment in innovation to better deal with current and future humanitarian challenges ";"Innovation";"This topic questions how to foster innovation that can help meet humanitarian challenges. ";"b";"7b";"Cooperation with other actors (scientific community, academia/private sector) "
7;"Creating an enabling environment and investment in innovation to better deal with current and future humanitarian challenges ";"Innovation";"This topic questions how to foster innovation that can help meet humanitarian challenges. ";"c";"7c";"Funding R&D and innovations "
7;"Creating an enabling environment and investment in innovation to better deal with current and future humanitarian challenges ";"Innovation";"This topic questions how to foster innovation that can help meet humanitarian challenges. ";"d";"7d";"Innovative ideas and technologies "
7;"Creating an enabling environment and investment in innovation to better deal with current and future humanitarian challenges ";"Innovation";"This topic questions how to foster innovation that can help meet humanitarian challenges. ";"e";"7e";"Legal, regulatory and ethical frameworks for humanitarian innovation "
7;"Creating an enabling environment and investment in innovation to better deal with current and future humanitarian challenges ";"Innovation";"This topic questions how to foster innovation that can help meet humanitarian challenges. ";"f";"7f";"Innovation management principles "
7;"Creating an enabling environment and investment in innovation to better deal with current and future humanitarian challenges ";"Innovation";"This topic questions how to foster innovation that can help meet humanitarian challenges. ";"g";"7g";"Platforms and mechanisms for identification of innovations "
7;"Creating an enabling environment and investment in innovation to better deal with current and future humanitarian challenges ";"Innovation";"This topic questions how to foster innovation that can help meet humanitarian challenges. ";"h";"7h";"Scaling up of innovations "
7;"Creating an enabling environment and investment in innovation to better deal with current and future humanitarian challenges ";"Innovation";"This topic questions how to foster innovation that can help meet humanitarian challenges. ";"i";"7i";"Innovation priorities "
7;"Creating an enabling environment and investment in innovation to better deal with current and future humanitarian challenges ";"Innovation";"This topic questions how to foster innovation that can help meet humanitarian challenges. ";"j";"7j";"Other: Community involvement for needs-based innovation / Role of Education in Innovation / Improving Knowledge Through Traditional Means"
8;"Gender ";"Gender";"This topic deals with the aid needs and capacities of women and girls. ";"a";"8a";"Effective protection and response against sexual and gender- based violence "
8;"Gender ";"Gender";"This topic deals with the aid needs and capacities of women and girls. ";"b";"8b";"Empowerment of women’s NGOs "
8;"Gender ";"Gender";"This topic deals with the aid needs and capacities of women and girls. ";"c";"8c";"Gender equality programming including gender analysis and needs assessment"
8;"Gender ";"Gender";"This topic deals with the aid needs and capacities of women and girls. ";"d";"8d";"Women peace and security/women in conflict issues "
8;"Gender ";"Gender";"This topic deals with the aid needs and capacities of women and girls. ";"e";"8e";"Other: Accountability for Gender Issues "
